,S&P 500 (Live),FTSE 100 (Live),Nikkei 225 (Live),DAX (Live),Russel 2000 (Live),All Ordinaries (Live),CAC 40 (Live),Hang Seng (Live),KOSPI Composite Index (Live),AEX Index (Live),Swiss Market Index (Live),IBEX 35 (Live),S&P CNX Nifty (Live),IPC Mexico (Live),Bovespa Index (Live),S&P/TSX Composite Index (Live),Euro STOXX 50 (Live),FT Straits Times Index,FTSE MIB (Live)
,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel,Realized Kernel
DateID,SPX2.rk,FTSE2.rk,N2252.rk,GDAXI2.rk,RUT2.rk,AORD2.rk,FCHI2.rk,HSI2.rk,KS11.rk,AEX.rk,SSMI.rk,IBEX2.rk,NSEI.rk,MXX.rk,BVSP.rk,GSPTSE.rk,STOXX50E.rk,FTSTI.rk,FTSEMIB.rk
20160705,2.68E-05,7.28E-05,4.08E-05,7.83E-05,4.74E-05,2.41E-05,0.000103602,4.28E-05,1.47E-05,8.93E-05,7.29E-05,0.000138393,2.08E-05,3.25E-05,4.30E-05,2.05E-05,0.0001078,,0.000174151
20160706,4.73E-05,8.68E-05,9.69E-05,0.000173882,7.28E-05,6.32E-05,0.000177848,5.83E-05,3.68E-05,0.000139875,9.41E-05,0.000250168,,7.66E-05,6.66E-05,3.94E-05,0.000193494,,0.000303126
20160707,2.73E-05,4.62E-05,9.48E-05,9.98E-05,5.29E-05,5.59E-05,0.000102468,4.14E-05,2.87E-05,6.81E-05,5.62E-05,0.000150871,1.60E-05,5.31E-05,0.000109225,2.48E-05,0.000108575,,0.000165568
20160708,1.41E-05,6.16E-05,8.84E-05,0.000143499,3.35E-05,1.21E-05,0.000151662,4.00E-05,3.74E-05,0.000115853,6.96E-05,0.000204811,2.25E-05,3.45E-05,3.25E-05,3.13E-05,0.00016058,,0.000222619
20160711,1.31E-05,3.84E-05,0.000132738,9.87E-05,1.99E-05,9.04E-05,0.000119808,2.95E-05,1.31E-05,8.26E-05,5.62E-05,0.000173852,1.47E-05,3.77E-05,2.65E-05,2.17E-05,0.000126447,,0.000148148
20160712,1.89E-05,3.06E-05,0.000136388,7.18E-05,3.67E-05,2.58E-05,7.14E-05,3.54E-05,2.10E-05,4.55E-05,3.56E-05,0.000128375,1.04E-05,2.08E-05,5.76E-05,2.17E-05,8.28E-05,,0.000110821
20160713,1.33E-05,4.33E-05,0.000139319,7.03E-05,3.61E-05,2.41E-05,7.74E-05,3.65E-05,1.96E-05,5.57E-05,3.43E-05,0.000184237,1.98E-05,2.40E-05,8.04E-05,1.78E-05,7.91E-05,,0.000118908
20160714,1.95E-05,6.40E-05,,8.71E-05,2.99E-05,,6.97E-05,,,5.29E-05,2.27E-05,0.000108407,,4.26E-05,4.39E-05,1.16E-05,,,0.000154487
20160715,1.21E-05,5.32E-05,9.68E-05,7.85E-05,2.08E-05,2.50E-05,8.48E-05,5.08E-05,2.72E-05,5.99E-05,3.15E-05,0.000161454,4.05E-05,2.00E-05,4.01E-05,6.06E-06,8.88E-05,,0.000118396
20160718,6.45E-06,3.82E-05,,0.000111702,1.44E-05,7.92E-06,0.000119248,5.36E-05,1.48E-05,8.54E-05,5.45E-05,0.00015595,2.18E-05,2.23E-05,3.83E-05,5.52E-06,0.000121918,,0.000121679
20160719,9.91E-06,2.43E-05,6.18E-05,7.55E-05,1.58E-05,1.16E-05,7.13E-05,2.69E-05,2.06E-05,4.99E-05,4.27E-05,0.000167493,3.63E-05,2.41E-05,4.96E-05,3.65E-06,8.93E-05,,0.000111765
20160720,7.49E-06,1.81E-05,3.57E-05,5.18E-05,1.68E-05,1.42E-05,5.57E-05,3.43E-05,1.40E-05,3.69E-05,2.80E-05,9.33E-05,2.41E-05,2.25E-05,6.78E-05,1.11E-05,5.46E-05,,6.65E-05
20160721,1.01E-05,2.81E-05,4.65E-05,9.33E-05,1.52E-05,2.58E-05,0.000116871,2.60E-05,8.33E-06,7.91E-05,4.78E-05,0.00016008,2.40E-05,1.29E-05,7.27E-05,6.92E-06,0.000132224,,0.000126883
20160722,7.47E-06,2.74E-05,5.14E-05,9.19E-05,1.26E-05,1.39E-05,0.000114878,2.74E-05,1.44E-05,6.34E-05,4.10E-05,0.000123771,3.10E-05,1.85E-05,3.81E-05,5.17E-06,0.000114576,,8.22E-05
20160725,8.80E-06,2.19E-05,5.42E-05,8.35E-05,1.44E-05,2.57E-05,4.96E-05,3.58E-05,1.77E-05,4.59E-05,3.01E-05,8.23E-05,2.09E-05,3.66E-05,4.73E-05,1.11E-05,5.68E-05,,5.46E-05
20160726,1.79E-05,2.39E-05,7.40E-05,6.11E-05,2.74E-05,1.78E-05,7.90E-05,6.03E-05,1.86E-05,5.38E-05,3.84E-05,0.000107148,1.25E-05,3.19E-05,3.62E-05,1.38E-05,7.76E-05,,9.51E-05
20160727,2.50E-05,1.69E-05,0.000214506,2.64E-05,2.60E-05,2.66E-05,4.04E-05,6.55E-05,1.16E-05,2.97E-05,1.95E-05,7.62E-05,4.28E-05,7.62E-05,3.19E-05,1.75E-05,3.30E-05,,5.07E-05
20160728,1.77E-05,2.24E-05,6.27E-05,6.93E-05,1.88E-05,1.34E-05,6.97E-05,3.77E-05,2.66E-05,7.89E-05,4.40E-05,9.94E-05,2.38E-05,2.68E-05,5.26E-05,2.34E-05,7.89E-05,,8.83E-05
20160729,1.32E-05,3.25E-05,0.000944529,4.55E-05,3.35E-05,3.04E-05,5.15E-05,7.31E-05,2.41E-05,4.87E-05,4.22E-05,7.79E-05,1.94E-05,7.30E-05,6.64E-05,1.66E-05,5.20E-05,,7.54E-05
20160801,2.04E-05,2.59E-05,8.75E-05,5.55E-05,3.60E-05,1.56E-05,5.73E-05,4.14E-05,6.95E-06,6.38E-05,,9.36E-05,6.66E-05,2.37E-05,4.62E-05,,6.59E-05,,0.000104626
20160802,2.54E-05,2.58E-05,4.68E-05,6.00E-05,2.89E-05,3.17E-05,7.91E-05,,7.98E-06,6.49E-05,3.90E-05,0.000121395,4.52E-05,1.95E-05,9.49E-05,1.84E-05,7.96E-05,,0.00013413
20160803,1.25E-05,2.77E-05,0.000108422,6.38E-05,2.33E-05,3.90E-05,0.000110437,3.10E-05,2.53E-05,7.40E-05,3.24E-05,0.000171451,5.13E-05,2.61E-05,6.21E-05,1.52E-05,0.00010123,,0.000153021
20160804,1.02E-05,4.91E-05,0.000153437,6.26E-05,2.18E-05,2.65E-05,7.52E-05,2.75E-05,1.40E-05,5.09E-05,3.88E-05,0.000119013,3.73E-05,2.01E-05,7.53E-05,1.40E-05,8.61E-05,,9.12E-05
20160805,7.34E-06,3.31E-05,5.07E-05,6.71E-05,1.84E-05,1.51E-05,5.73E-05,1.83E-05,8.66E-06,5.68E-05,3.97E-05,8.31E-05,2.81E-05,1.51E-05,5.55E-05,9.74E-06,6.42E-05,,6.96E-05
20160808,5.60E-06,1.66E-05,3.65E-05,3.07E-05,1.46E-05,2.93E-05,2.63E-05,3.28E-05,1.88E-05,2.29E-05,2.15E-05,4.16E-05,1.53E-05,4.67E-05,3.51E-05,7.99E-06,3.12E-05,,4.17E-05
20160809,5.90E-06,9.45E-06,3.48E-05,4.07E-05,1.13E-05,8.88E-06,2.37E-05,1.25E-05,1.28E-05,1.63E-05,1.87E-05,4.58E-05,3.22E-05,2.14E-05,3.16E-05,8.54E-06,3.15E-05,,4.15E-05
20160810,1.01E-05,1.20E-05,4.08E-05,3.21E-05,2.70E-05,1.97E-05,2.81E-05,2.72E-05,1.34E-05,2.07E-05,2.50E-05,4.38E-05,3.52E-05,3.84E-05,5.16E-05,1.16E-05,2.66E-05,,3.81E-05
20160811,1.12E-05,1.87E-05,,4.40E-05,1.39E-05,2.72E-05,3.89E-05,5.23E-05,1.27E-05,3.22E-05,2.33E-05,5.05E-05,3.58E-05,3.29E-05,4.21E-05,7.03E-06,4.17E-05,,3.76E-05
20160812,7.51E-06,1.55E-05,2.36E-05,2.75E-05,1.15E-05,2.95E-05,2.63E-05,2.48E-05,2.17E-05,1.81E-05,1.34E-05,4.47E-05,4.26E-05,4.02E-05,7.63E-05,1.41E-05,2.57E-05,,3.35E-05
20160815,4.01E-06,1.19E-05,1.86E-05,3.86E-05,1.43E-05,1.13E-05,2.57E-05,2.84E-05,,1.57E-05,1.56E-05,3.44E-05,,3.89E-05,5.73E-05,5.98E-06,2.43E-05,,
20160816,8.23E-06,1.94E-05,0.000103048,5.18E-05,1.56E-05,5.34E-06,6.36E-05,3.61E-05,1.66E-05,4.53E-05,2.31E-05,7.73E-05,3.80E-05,3.35E-05,5.81E-05,1.04E-05,7.14E-05,,5.34E-05
20160817,1.64E-05,1.89E-05,4.23E-05,4.51E-05,2.44E-05,1.65E-05,5.41E-05,2.76E-05,2.33E-05,5.39E-05,2.42E-05,5.88E-05,2.98E-05,4.40E-05,7.88E-05,1.99E-05,5.66E-05,,3.57E-05
20160818,6.07E-06,1.41E-05,8.35E-05,3.13E-05,1.83E-05,2.48E-05,2.36E-05,2.76E-05,1.04E-05,1.39E-05,1.78E-05,3.69E-05,1.76E-05,3.50E-05,5.55E-05,5.00E-06,2.93E-05,,3.70E-05
20160819,1.08E-05,1.74E-05,4.92E-05,5.65E-05,1.16E-05,1.33E-05,5.57E-05,3.39E-05,1.36E-05,3.42E-05,3.31E-05,7.23E-05,1.44E-05,3.58E-05,4.21E-05,1.29E-05,6.11E-05,,4.42E-05
20160822,1.96E-05,2.31E-05,2.40E-05,0.000119339,3.00E-05,9.01E-06,9.76E-05,4.02E-05,2.01E-05,7.04E-05,3.69E-05,9.86E-05,2.50E-05,4.46E-05,4.84E-05,1.26E-05,0.000113117,,7.46E-05
20160823,7.34E-06,1.53E-05,4.60E-05,5.18E-05,1.54E-05,2.08E-05,3.68E-05,2.44E-05,9.24E-06,3.11E-05,2.94E-05,5.85E-05,1.97E-05,3.14E-05,7.04E-05,4.41E-06,4.87E-05,,3.80E-05
20160824,9.94E-06,1.59E-05,2.84E-05,4.74E-05,1.84E-05,1.14E-05,5.28E-05,3.80E-05,1.38E-05,3.80E-05,2.69E-05,5.12E-05,1.53E-05,2.71E-05,5.80E-05,1.14E-05,5.34E-05,,3.84E-05
20160825,1.30E-05,2.62E-05,3.03E-05,7.06E-05,2.34E-05,1.61E-05,6.04E-05,2.49E-05,1.74E-05,3.96E-05,2.69E-05,6.29E-05,1.89E-05,2.14E-05,5.62E-05,1.54E-05,6.21E-05,,5.60E-05
20160826,5.42E-05,2.66E-05,7.05E-05,0.000113424,5.27E-05,2.42E-05,9.33E-05,3.77E-05,1.87E-05,6.26E-05,4.48E-05,0.000126675,2.26E-05,8.34E-05,0.000213882,4.90E-05,0.000102095,,6.16E-05
20160829,8.16E-06,,3.10E-05,7.90E-05,1.11E-05,2.85E-05,5.52E-05,2.52E-05,1.32E-05,3.83E-05,2.53E-05,4.91E-05,1.59E-05,3.05E-05,4.90E-05,1.06E-05,6.67E-05,,2.44E-05
20160830,1.26E-05,1.65E-05,7.80E-06,4.03E-05,1.35E-05,2.15E-05,4.64E-05,2.34E-05,1.34E-05,3.14E-05,1.57E-05,5.57E-05,1.29E-05,3.28E-05,5.84E-05,2.47E-05,4.78E-05,,2.68E-05
20160831,1.43E-05,2.11E-05,1.28E-05,4.26E-05,2.67E-05,3.65E-05,4.67E-05,1.95E-05,1.34E-05,2.92E-05,2.74E-05,6.07E-05,2.30E-05,4.08E-05,0.000132377,1.70E-05,4.24E-05,,2.94E-05
20160901,2.58E-05,3.07E-05,1.52E-05,6.58E-05,4.18E-05,1.82E-05,7.19E-05,3.21E-05,1.87E-05,4.13E-05,3.87E-05,9.30E-05,2.34E-05,3.18E-05,5.83E-05,2.64E-05,7.37E-05,,7.67E-05
20160902,1.36E-05,3.44E-05,2.52E-05,6.93E-05,2.42E-05,3.07E-05,8.18E-05,2.12E-05,1.18E-05,5.90E-05,3.44E-05,0.000115129,1.35E-05,7.62E-05,3.67E-05,2.55E-05,8.91E-05,,8.39E-05
20160905,,1.99E-05,3.17E-05,2.15E-05,,2.94E-05,2.66E-05,2.39E-05,1.22E-05,2.72E-05,1.85E-05,5.23E-05,,1.83E-05,4.31E-05,,2.67E-05,,3.52E-05
20160906,1.30E-05,2.31E-05,1.33E-05,4.07E-05,1.61E-05,1.20E-05,3.68E-05,2.43E-05,7.18E-06,2.92E-05,1.50E-05,5.34E-05,1.67E-05,4.74E-05,4.95E-05,9.23E-06,4.05E-05,,3.96E-05
20160907,7.74E-06,1.75E-05,2.17E-05,3.59E-05,9.72E-06,1.65E-05,5.68E-05,1.81E-05,8.03E-06,3.02E-05,2.34E-05,5.54E-05,2.12E-05,3.26E-05,,1.13E-05,5.66E-05,,6.16E-05
20160908,1.36E-05,3.30E-05,2.92E-05,0.000117576,1.38E-05,4.89E-05,0.00012528,1.87E-05,2.36E-05,8.96E-05,3.98E-05,0.000133821,2.04E-05,2.06E-05,3.44E-05,1.35E-05,0.000135796,,9.77E-05
20160909,3.66E-05,2.57E-05,4.10E-05,6.87E-05,6.15E-05,5.04E-05,6.52E-05,4.39E-05,2.43E-05,4.85E-05,2.72E-05,8.94E-05,4.01E-05,4.37E-05,7.28E-05,3.14E-05,6.95E-05,,5.90E-05
20160912,5.64E-05,3.40E-05,5.32E-05,8.93E-05,8.77E-05,0.000138616,0.000110767,5.57E-05,3.78E-05,8.36E-05,4.08E-05,8.92E-05,3.40E-05,0.000111221,9.10E-05,4.76E-05,0.000157444,,6.46E-05
20160913,8.87E-05,3.23E-05,4.30E-05,6.19E-05,0.000108207,5.13E-05,7.04E-05,6.44E-05,2.24E-05,5.94E-05,3.39E-05,7.75E-05,,7.02E-05,0.00012215,5.05E-05,7.25E-05,,6.79E-05
